,station_id,station_line,boro,lines,long,name,Complex ID,lat,line_,dir,pf_id,node_id
1300,H02,1,Q,A,-73.834058,Aqueduct - N Conduit Av,197,40.669433999999995,A,N,H02-A-N,H02-A-N
1301,H03,1,Q,A,-73.830301,Howard Beach - JFK Airport,198,40.661676,A,N,H03-A-N,H03-A-N
1302,H04,1,Q,A S,-73.815925,Broad Channel,199,40.609581999999996,A,N,H04-A-N,H04-A-N
1303,H04,2,Q,A S,-73.81532499999999,Broad Channel,199,40.608982,S,N,H04-S-N,H04-S-N
1304,H06,1,Q,A,-73.796924,Beach 67 St,204,40.592127,A,N,H06-A-N,H06-A-N
1305,H07,1,Q,A,-73.788522,Beach 60 St,205,40.593574,A,N,H07-A-N,H07-A-N
1306,H08,1,Q,A,-73.776013,Beach 44 St,206,40.594142999999995,A,N,H08-A-N,H08-A-N
1307,H09,1,Q,A,-73.768175,Beach 36 St,207,40.596598,A,N,H09-A-N,H09-A-N
1308,H10,1,Q,A,-73.761353,Beach 25 St,208,40.601265999999995,A,N,H10-A-N,H10-A-N
1309,H11,1,Q,A,-73.755405,Far Rockaway - Mott Av,209,40.605194999999995,A,N,H11-A-N,H11-A-N
1310,H12,1,Q,A S,-73.813641,Beach 90 St,200,40.589234,A,N,H12-A-N,H12-A-N
1311,H12,2,Q,A S,-73.813041,Beach 90 St,200,40.588634,S,N,H12-S-N,H12-S-N
1312,H13,1,Q,A S,-73.820558,Beach 98 St,201,40.586507,A,N,H13-A-N,H13-A-N
1313,H13,2,Q,A S,-73.819958,Beach 98 St,201,40.585907,S,N,H13-S-N,H13-S-N
1314,H14,1,Q,A S,-73.827559,Beach 105 St,202,40.584408999999994,A,N,H14-A-N,H14-A-N
1315,H14,2,Q,A S,-73.82695899999999,Beach 105 St,202,40.583808999999995,S,N,H14-S-N,H14-S-N
1316,H15,1,Q,A S,-73.835592,Rockaway Park - Beach 116 St,203,40.582103,A,N,H15-A-N,H15-A-N
1317,H15,2,Q,A S,-73.834992,Rockaway Park - Beach 116 St,203,40.581503,S,N,H15-S-N,H15-S-N
